teme,lat, lon,TM
2018-04-14 00:00:00,-24.412567,-49.836,18.906103
2018-04-14 00:00:00,-24.412567,-49.5931,19.872301
2018-04-14 00:00:00,-24.412567,-49.3502,20.343233
2018-04-14 00:00:00,-24.412567,-49.1073,20.649166
2018-04-14 00:00:00,-24.412567,-48.8644,19.74531
2018-04-14 00:00:00,-24.412567,-48.6215,20.479649
2018-04-14 00:00:00,-24.412567,-48.3786,20.653801
2018-04-14 00:00:00,-24.412567,-48.1357,22.857327
2018-04-14 00:00:00,-24.412567,-47.8928,24.147108
2018-04-14 00:00:00,-24.412567,-47.6499,24.599152
2018-04-14 00:00:00,-24.412567,-47.407,23.883474
2018-04-14 00:00:00,-24.412567,-47.1641,23.406727
2018-04-14 00:00:00,-24.412567,-46.9212,25.174198
2018-04-14 00:00:00,-24.412567,-46.6783,24.943241
2018-04-14 00:00:00,-24.412567,-46.4354,24.688797
2018-04-14 00:00:00,-24.412567,-46.1925,24.390985
2018-04-14 00:00:00,-24.412567,-45.9496,24.093172
2018-04-14 00:00:00,-24.412567,-45.7067,23.79536
2018-04-14 00:00:00,-24.412567,-45.4638,23.497547
2018-04-14 00:00:00,-24.412567,-45.2209,23.199617
2018-04-14 00:00:00,-24.412567,-44.978,22.873367
2018-04-14 00:00:00,-24.412567,-44.7351,22.953274
2018-04-14 00:00:00,-24.412567,-44.4922,23.357912
2018-04-14 00:00:00,-24.412567,-44.2493,23.76255
2018-04-14 00:00:00,-24.191254,-52.9937,25.178177
2018-04-14 00:00:00,-24.191254,-52.7508,24.297737
2018-04-14 00:00:00,-24.191254,-52.5079,23.5495
2018-04-14 00:00:00,-24.191254,-52.265,23.187828
2018-04-14 00:00:00,-24.191254,-52.0221,23.51913
2018-04-14 00:00:00,-24.191254,-51.7792,23.090683
2018-04-14 00:00:00,-24.191254,-51.5363,23.044376
2018-04-14 00:00:00,-24.191254,-51.2934,22.505196
2018-04-14 00:00:00,-24.191254,-51.0505,21.461992
2018-04-14 00:00:00,-24.191254,-50.8076,21.539608
2018-04-14 00:00:00,-24.191254,-50.5647,21.196257
2018-04-14 00:00:00,-24.191254,-50.3218,20.46584
2018-04-14 00:00:00,-24.191254,-50.0789,20.821915
2018-04-14 00:00:00,-24.191254,-49.836,20.795973
2018-04-14 00:00:00,-24.191254,-49.5931,21.133905
2018-04-14 00:00:00,-24.191254,-49.3502,21.14351
2018-04-14 00:00:00,-24.191254,-49.1073,21.012037
2018-04-14 00:00:00,-24.191254,-48.8644,20.936945
2018-04-14 00:00:00,-24.191254,-48.6215,21.565157
2018-04-14 00:00:00,-24.191254,-48.3786,19.712055
2018-04-14 00:00:00,-24.191254,-48.1357,20.058619
2018-04-14 00:00:00,-24.191254,-47.8928,22.448195
2018-04-14 00:00:00,-24.191254,-47.6499,24.42797
2018-04-14 00:00:00,-24.191254,-47.407,23.561079
2018-04-14 00:00:00,-24.191254,-47.1641,23.583155
2018-04-14 00:00:00,-24.191254,-46.9212,24.61073
2018-04-14 00:00:00,-24.191254,-46.6783,25.170633
2018-04-14 00:00:00,-24.191254,-46.4354,25.00751
2018-04-14 00:00:00,-24.191254,-46.1925,24.727661
2018-04-14 00:00:00,-24.191254,-45.9496,24.42985
2018-04-14 00:00:00,-24.191254,-45.7067,24.132036
2018-04-14 00:00:00,-24.191254,-45.4638,23.834225
2018-04-14 00:00:00,-24.191254,-45.2209,23.536411
2018-04-14 00:00:00,-24.191254,-44.978,23.238497
2018-04-14 00:00:00,-24.191254,-44.7351,22.910952
2018-04-14 00:00:00,-24.191254,-44.4922,23.102333
2018-04-14 00:00:00,-24.191254,-44.2493,23.506973
2018-04-14 00:00:00,-23.969513,-52.9937,25.383951
2018-04-14 00:00:00,-23.969513,-52.7508,24.514137
2018-04-14 00:00:00,-23.969513,-52.5079,23.7089
2018-04-14 00:00:00,-23.969513,-52.265,24.076336
2018-04-14 00:00:00,-23.969513,-52.0221,24.57182
2018-04-14 00:00:00,-23.969513,-51.7792,24.24681
2018-04-14 00:00:00,-23.969513,-51.5363,23.13984
2018-04-14 00:00:00,-23.969513,-51.2934,21.543522
2018-04-14 00:00:00,-23.969513,-51.0505,21.222458
2018-04-14 00:00:00,-23.969513,-50.8076,21.911629
2018-04-14 00:00:00,-23.969513,-50.5647,21.879534
2018-04-14 00:00:00,-23.969513,-50.3218,22.266996
2018-04-14 00:00:00,-23.969513,-50.0789,20.722754
2018-04-14 00:00:00,-23.969513,-49.836,20.679735
2018-04-14 00:00:00,-23.969513,-49.5931,21.705727
2018-04-14 00:00:00,-23.969513,-49.3502,22.126108
2018-04-14 00:00:00,-23.969513,-49.1073,21.9824
2018-04-14 00:00:00,-23.969513,-48.8644,22.063719
